"lake","nsp","q","M","M.prime","qHt","qEt","qDT","qDTM"
"north_blue",8,1,0.332589394136002,0.38010216472686,4.18554412242147,0.325759144025114,2.60607315220091,1.8667522907646
"north_jaide",7,1,0.178344538925301,0.208068628746184,8.61270414710912,0.496718488081093,3.47702941656765,1.62010920812747
"paintbrush",5,1,0.481643816958945,0.602054771198682,10.4407417957843,0.753933996540456,3.76966998270228,2.81563823914429
"palmer",7,1,0.192256163832206,0.22429885780424,10.5026781585641,0.539875378867013,3.77912765206909,1.72656058501901
"pass",7,1,0.158963363535633,0.185457257458239,15.4520545719089,0.637511686619497,4.46258180633648,1.70938701398817
"rainbow",6,1,0.240825839213283,0.28899100705594,6.80142236419832,0.525908573772689,3.15545144263613,1.75991424176961
"rapid",6,1,0.349017692287064,0.418821230744477,7.44301550116025,0.545604763374418,3.27362858024651,2.14255429248262
"sad_shrimp",8,1,0.442797647106297,0.506054453835769,14.3043276898933,0.539376682334734,4.31501345867787,2.91067780673457
"shoal",6,1,0.443048908326506,0.531658689991807,23.5980169362215,0.897240523923908,5.38344314354345,3.38512860778474
"sonnicant",10,1,0.305384963943049,0.339316626603387,11.4067005860652,0.391419105881103,3.91419105881103,2.19533509536121
"south_jaide",5,1,0.284048789170632,0.35506098646329,6.80118349830944,0.631081293148589,3.15540646574295,1.89628938593547
"spider",10,1,0.255155582207674,0.283506202452971,14.3794084676941,0.432484097286333,4.32484097286333,2.10350731638655
"summit",8,1,0.31059692993369,0.354967919924217,7.30833348014046,0.406155293320494,3.24924234656395,2.0092046974533
"tayo",6,1,0.383189051975752,0.459826862370902,13.3804193722664,0.698656630747574,4.19193978448545,2.60630543195641
"temple",8,1,0.231868605781136,0.264992692321298,8.23371822991789,0.426585288555397,3.41268230844318,1.79129388883267
"timberline",6,1,0.443394816982275,0.53207378037873,6.16128480577402,0.505341916901054,3.03205150140632,2.34439592054689
"upper_black_joe",7,1,0.101859520216306,0.118836106919023,12.9251190847862,0.589964955226437,4.12975468658506,1.42065483098659
"upper_ice",7,1,0.58299820768733,0.680164575635218,14.8872557446243,0.627237519381901,4.3906626356733,3.55974844715726
"upper_indian",7,1,0.528045531021975,0.616053119525638,9.36297663861579,0.514354295118723,3.60048006583106,2.9012174082958
"upper_jean",9,1,0.27599051803389,0.310489332788127,10.3782400843114,0.417788685662472,3.76009817096225,2.03775144206216
"upper_lost",6,1,0.536833218559682,0.644199862271618,7.75633102489098,0.554924346844776,3.32954608106865,2.78741093904286
"upper_spider",9,1,0.423741980002173,0.476709727502445,13.0234217024135,0.460363415822003,4.14327074239803,2.75567774806882
"upper_toadstool",8,1,0.259996436014787,0.297138784016899,15.4682664552406,0.558078362484819,4.46462689987855,2.16078708210417
"walled",5,1,0.305053422404979,0.381316778006224,6.47844085243828,0.618784766639819,3.09392383319909,1.94381205397772
"warbonnet",6,1,0.0724390189327936,0.0869268227193523,7.43674025540368,0.545416185915099,3.2724971154906,1.23705648050654
"waterfall",6,1,0.354181391843092,0.42501767021171,20.2421136660561,0.837803597566901,5.02682158540141,2.78040666566437
"west_mtlester",5,1,0.460479544324088,0.57559943040511,6.21407290960138,0.608490822320379,3.0424541116019,2.40098788293739
"windy",8,1,0.563900144360567,0.644457307840648,20.8340609150017,0.636467291574095,5.09173833259276,3.87123198079529
"zigzag",5,1,0.433672337814159,0.542090422267698,14.621020785203,0.871259250452219,4.3562962522611,2.88920517992913
